units_sold_clean,price_clean,discount_clean,units_returned_clean,revenue_clean,revenue_recalc,revenue_diff,revenue_mismatch_flag,date_clean,month_clean,location_clean,platform_clean,category_clean,dup_flag,issue_flag,data_error_flag,business_alert_flag,ratio,revenue_uplift
181,"15,49","0,14",1,"2803,69","2411,1734","392,5166",,6/01/2020,2020-01,USA,AMAZON,Herbal,FALSE,FALSE,FALSE,FALSE,"1,162790698","0,1627906977"
164,"34,41","0,04",1,"5643,24","5417,5104","225,7296",,6/01/2020,2020-01,USA,WALMART,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
159,"28,79","0,1",1,"4577,61","4119,849","457,761",,6/01/2020,2020-01,UK,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,111111111","0,1111111111"
143,"31,88","0,06",3,"4558,84","4285,3096","273,5304",,6/01/2020,2020-01,UK,WALMART,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,063829787","0,06382978723"
149,"42,97","0,22",2,"6402,53","4993,9734","1408,5566",,6/01/2020,2020-01,CANADA,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
154,"35,92","0,04",2,"5531,68","5310,4128","221,2672",,6/01/2020,2020-01,USA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
150,"12,08","0,02",2,1812,"1775,76","36,24",,13/01/2020,2020-01,UK,AMAZON,Protein,FALSE,FALSE,FALSE,FALSE,"1,020408163","0,02040816327"
128,"10,61","0,24",2,"1358,08","1032,1408","325,9392",,13/01/2020,2020-01,USA,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,315789474","0,3157894737"
145,"27,49","0,19",2,"3986,05","3228,7005","757,3495",,13/01/2020,2020-01,USA,WALMART,Omega,FALSE,FALSE,FALSE,FALSE,"1,234567901","0,2345679012"
137,"14,92","0,17",2,"2044,04","1696,5532","347,4868",,13/01/2020,2020-01,USA,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,204819277","0,2048192771"
141,"14,11","0,24",1,"1989,51","1512,0276","477,4824",,13/01/2020,2020-01,CANADA,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,315789474","0,3157894737"
160,"29,1","0,05",0,4656,"4423,2","232,8",,13/01/2020,2020-01,CANADA,AMAZON,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,052631579","0,05263157895"
154,"42,2","0,13",0,"6498,8","5653,956","844,844",,13/01/2020,2020-01,UK,WALMART,Performance,FALSE,FALSE,FALSE,FALSE,"1,149425287","0,1494252874"
154,"47,4","0,2",2,"7299,6","5839,68","1459,92",,13/01/2020,2020-01,USA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
134,"56,4","0,06",1,"7557,6","7104,144","453,456",,13/01/2020,2020-01,CANADA,IHERB,Protein,FALSE,FALSE,FALSE,FALSE,"1,063829787","0,06382978723"
148,"40,65","0,24",1,"6016,2","4572,312","1443,888",,13/01/2020,2020-01,UK,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,315789474","0,3157894737"
133,"54,35","0,16",1,"7228,55","6071,982","1156,568",,13/01/2020,2020-01,UK,WALMART,Herbal,FALSE,FALSE,FALSE,FALSE,"1,19047619","0,1904761905"
141,"33,03","0,21",2,"4657,23","3679,2117","978,0183",,13/01/2020,2020-01,USA,AMAZON,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
161,"18,87","0,14",5,"3038,07","2612,7402","425,3298",,13/01/2020,2020-01,USA,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,162790698","0,1627906977"
174,"18,24","0,03",2,"3173,76","3078,5472","95,2128",,13/01/2020,2020-01,USA,WALMART,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,030927835","0,03092783505"
163,"35,29","0,21",2,"5752,27","4544,2933","1207,9767",,13/01/2020,2020-01,USA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
151,"35,42","0,07",2,"5348,42","4974,0306","374,3894",,13/01/2020,2020-01,USA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,"1,075268817","0,0752688172"
157,"41,81","0,19",0,"6564,17","5316,9777","1247,1923",,20/01/2020,2020-01,USA,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,234567901","0,2345679012"
149,"22,33","0,18",5,"3327,17","2728,2794","598,8906",,20/01/2020,2020-01,UK,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,219512195","0,2195121951"
131,50,"0,05",1,6550,"6222,5","327,5",,20/01/2020,2020-01,USA,WALMART,Omega,FALSE,FALSE,FALSE,FALSE,"1,052631579","0,05263157895"
159,"19,4","0,09",2,"3084,6","2806,986","277,614",,20/01/2020,2020-01,USA,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,098901099","0,0989010989"
152,"48,05","0,01",2,"7303,6","7230,564","73,036",,20/01/2020,2020-01,USA,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,01010101","0,0101010101"
145,"17,44","0,08",3,"2528,8","2326,496","202,304",,20/01/2020,2020-01,UK,AMAZON,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,086956522","0,08695652174"
148,"54,31","0,15",1,"8037,88","6832,198","1205,682",,20/01/2020,2020-01,UK,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,176470588","0,1764705882"
147,"10,16","0,15",1,"1493,52","1269,492","224,028",,20/01/2020,2020-01,USA,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,176470588","0,1764705882"
161,"39,41","0,12",2,"6345,01","5583,6088","761,4012",,20/01/2020,2020-01,UK,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,136363636","0,1363636364"
126,"38,07","0,14",1,"4796,82","4125,2652","671,5548",,20/01/2020,2020-01,CANADA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,162790698","0,1627906977"
156,"23,49","0,21",1,"3664,44","2894,9076","769,5324",,20/01/2020,2020-01,CANADA,IHERB,Herbal,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
128,"26,71","0,2",2,"3418,88","2735,104","683,776",,20/01/2020,2020-01,CANADA,IHERB,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
161,"32,01","0,04",1,"5153,61","4947,4656","206,1444",,20/01/2020,2020-01,CANADA,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
148,"21,03","0,15",2,"3112,44","2645,574","466,866",,20/01/2020,2020-01,UK,WALMART,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,176470588","0,1764705882"
155,"41,81","0,2",0,"6480,55","5184,44","1296,11",,20/01/2020,2020-01,UK,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
147,"29,19","0,14",2,"4290,93","3690,1998","600,7302",,20/01/2020,2020-01,USA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,"1,162790698","0,1627906977"
137,"26,73","0,01",0,"3662,01","3625,3899","36,6201",,27/01/2020,2020-01,UK,AMAZON,Protein,FALSE,FALSE,FALSE,FALSE,"1,01010101","0,0101010101"
163,"35,9","0,07",4,"5851,7","5442,081","409,619",,27/01/2020,2020-01,UK,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,075268817","0,0752688172"
141,"53,64","0,21",0,"7563,24","5974,9596","1588,2804",,27/01/2020,2020-01,CANADA,IHERB,Omega,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
162,"34,15","0,03",0,"5532,3","5366,331","165,969",,27/01/2020,2020-01,UK,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,030927835","0,03092783505"
158,"31,84","0,18",2,"5030,72","4125,1904","905,5296",,27/01/2020,2020-01,USA,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,219512195","0,2195121951"
136,"16,77","0,19",2,"2280,72","1847,3832","433,3368",,27/01/2020,2020-01,USA,IHERB,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,234567901","0,2345679012"
180,"12,85","0,07",1,2313,"2151,09","161,91",,27/01/2020,2020-01,USA,WALMART,Performance,FALSE,FALSE,FALSE,FALSE,"1,075268817","0,0752688172"
140,"47,97","0,11",2,"6715,8","5977,062","738,738",,27/01/2020,2020-01,UK,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,123595506","0,1235955056"
126,"11,68","0,02",3,"1471,68","1442,2464","29,4336",,27/01/2020,2020-01,CANADA,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,020408163","0,02040816327"
135,"30,55","0,09",3,"4124,25","3753,0675","371,1825",,27/01/2020,2020-01,USA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,098901099","0,0989010989"
174,"30,94","0,07",2,"5383,56","5006,7108","376,8492",,27/01/2020,2020-01,CANADA,AMAZON,Herbal,FALSE,FALSE,FALSE,FALSE,"1,075268817","0,0752688172"
156,"38,27","0,12",4,"5970,12","5253,7056","716,4144",,27/01/2020,2020-01,UK,IHERB,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,136363636","0,1363636364"
154,"15,7","0,04",1,"2417,8","2321,088","96,712",,27/01/2020,2020-01,UK,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
141,"38,06","0,13",0,"5366,46","4668,8202","697,6398",,27/01/2020,2020-01,UK,IHERB,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,149425287","0,1494252874"
165,"13,38","0,18",2,"2207,7","1810,314","397,386",,27/01/2020,2020-01,USA,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,219512195","0,2195121951"
129,"34,23","0,04",3,"4415,67","4239,0432","176,6268",,27/01/2020,2020-01,CANADA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
165,"33,11","0,1",2,"5463,15","4916,835","546,315",,3/02/2020,2020-02,CANADA,IHERB,Protein,FALSE,FALSE,FALSE,FALSE,"1,111111111","0,1111111111"
152,"35,63","0,2",1,"5415,76","4332,608","1083,152",,3/02/2020,2020-02,UK,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
138,"18,24","0,08",2,"2517,12","2315,7504","201,3696",,3/02/2020,2020-02,UK,AMAZON,Omega,FALSE,FALSE,FALSE,FALSE,"1,086956522","0,08695652174"
151,"53,89","0,22",3,"8137,39","6347,1642","1790,2258",,3/02/2020,2020-02,UK,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
140,"59,25","0,19",0,8295,"6718,95","1576,05",,3/02/2020,2020-02,UK,AMAZON,Performance,FALSE,FALSE,FALSE,FALSE,"1,234567901","0,2345679012"
126,"55,46","0,13",1,"6987,96","6079,5252","908,4348",,3/02/2020,2020-02,USA,IHERB,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,149425287","0,1494252874"
132,"51,11","0,1",2,"6746,52","6071,868","674,652",,3/02/2020,2020-02,CANADA,AMAZON,Performance,FALSE,FALSE,FALSE,FALSE,"1,111111111","0,1111111111"
184,"36,17","0,07",3,"6655,28","6189,4104","465,8696",,3/02/2020,2020-02,CANADA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,075268817","0,0752688172"
153,"49,9","0,1",3,"7634,7","6871,23","763,47",,3/02/2020,2020-02,UK,AMAZON,Protein,FALSE,FALSE,FALSE,FALSE,"1,111111111","0,1111111111"
151,"44,79","0,2",1,"6763,29","5410,632","1352,658",,3/02/2020,2020-02,CANADA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
135,"19,21","0,22",2,"2593,35","2022,813","570,537",,3/02/2020,2020-02,UK,AMAZON,Herbal,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
135,"40,76","0,02",3,"5502,6","5392,548","110,052",,3/02/2020,2020-02,CANADA,IHERB,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,020408163","0,02040816327"
162,"58,36","0,1",5,"9454,32","8508,888","945,432",,3/02/2020,2020-02,UK,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,111111111","0,1111111111"
156,"18,3","0,22",1,"2854,8","2226,744","628,056",,3/02/2020,2020-02,UK,IHERB,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
136,"37,99","0,13",2,"5166,64","4494,9768","671,6632",,3/02/2020,2020-02,USA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,149425287","0,1494252874"
168,"46,57","0,05",3,"7823,76","7432,572","391,188",,3/02/2020,2020-02,CANADA,IHERB,Hydration,FALSE,FALSE,FALSE,FALSE,"1,052631579","0,05263157895"
163,"45,51","0,08",1,"7418,13","6824,6796","593,4504",,10/02/2020,2020-02,UK,IHERB,Protein,FALSE,FALSE,FALSE,FALSE,"1,086956522","0,08695652174"
163,"27,89","0,12",3,"4546,07","4000,5416","545,5284",,10/02/2020,2020-02,UK,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,136363636","0,1363636364"
144,"45,6","0,21",0,"6566,4","5187,456","1378,944",,10/02/2020,2020-02,CANADA,AMAZON,Omega,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
140,"27,4","0,11",2,3836,"3414,04","421,96",,10/02/2020,2020-02,UK,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,123595506","0,1235955056"
155,"27,62","0,21",1,"4281,1","3382,069","899,031",,10/02/2020,2020-02,USA,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
134,"26,26","0,17",0,"3518,84","2920,6372","598,2028",,10/02/2020,2020-02,UK,AMAZON,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,204819277","0,2048192771"
137,"21,36","0,21",1,"2926,32","2311,7928","614,5272",,10/02/2020,2020-02,CANADA,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
155,"35,63","0,08",1,"5522,65","5080,838","441,812",,10/02/2020,2020-02,UK,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,086956522","0,08695652174"
155,"53,56","0,19",2,"8301,8","6724,458","1577,342",,10/02/2020,2020-02,UK,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,234567901","0,2345679012"
156,"55,36","0,17",2,"8636,16","7168,0128","1468,1472",,10/02/2020,2020-02,UK,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,204819277","0,2048192771"
132,"33,02","0,22",1,"4358,64","3399,7392","958,9008",,10/02/2020,2020-02,USA,IHERB,Herbal,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
146,"15,54","0,11",0,"2268,84","2019,2676","249,5724",,10/02/2020,2020-02,CANADA,AMAZON,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,123595506","0,1235955056"
142,"24,61","0,23",2,"3494,62","2690,8574","803,7626",,10/02/2020,2020-02,UK,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,298701299","0,2987012987"
162,"58,14","0,18",1,"9418,68","7723,3176","1695,3624",,10/02/2020,2020-02,UK,WALMART,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,219512195","0,2195121951"
163,"53,64","0,03",2,"8743,32","8481,0204","262,2996",,10/02/2020,2020-02,USA,WALMART,Mineral,FALSE,FALSE,FALSE,FALSE,"1,030927835","0,03092783505"
151,"22,09",0,1,"3335,59","3335,59",0,,10/02/2020,2020-02,USA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,1,0
143,"24,86","0,07",2,"3554,98","3306,1314","248,8486",,17/02/2020,2020-02,CANADA,IHERB,Protein,FALSE,FALSE,FALSE,FALSE,"1,075268817","0,0752688172"
165,"39,66","0,22",0,"6543,9","5104,242","1439,658",,17/02/2020,2020-02,CANADA,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
129,"49,73","0,01",1,"6415,17","6351,0183","64,1517",,17/02/2020,2020-02,CANADA,WALMART,Omega,FALSE,FALSE,FALSE,FALSE,"1,01010101","0,0101010101"
151,"51,57","0,15",0,"7787,07","6619,0095","1168,0605",,17/02/2020,2020-02,USA,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,176470588","0,1764705882"
131,"43,46","0,21",3,"5693,26","4497,6754","1195,5846",,17/02/2020,2020-02,USA,WALMART,Performance,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
152,"31,52","0,08",1,"4791,04","4407,7568","383,2832",,17/02/2020,2020-02,UK,AMAZON,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,086956522","0,08695652174"
160,"54,63","0,11",2,"8740,8","7779,312","961,488",,17/02/2020,2020-02,UK,AMAZON,Performance,FALSE,FALSE,FALSE,FALSE,"1,123595506","0,1235955056"
155,"45,13","0,06",1,"6995,15","6575,441","419,709",,17/02/2020,2020-02,USA,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,063829787","0,06382978723"
132,"34,38","0,16",3,"4538,16","3812,0544","726,1056",,17/02/2020,2020-02,CANADA,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,19047619","0,1904761905"
154,"35,31","0,16",0,"5437,74","4567,7016","870,0384",,17/02/2020,2020-02,USA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,19047619","0,1904761905"
141,"33,62","0,01",0,"4740,42","4693,0158","47,4042",,17/02/2020,2020-02,USA,IHERB,Herbal,FALSE,FALSE,FALSE,FALSE,"1,01010101","0,0101010101"
144,"19,8","0,15",1,"2851,2","2423,52","427,68",,17/02/2020,2020-02,USA,IHERB,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,176470588","0,1764705882"
139,"10,28",0,0,"1428,92","1428,92",0,,17/02/2020,2020-02,USA,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,1,0
117,"26,94","0,2",1,"3151,98","2521,584","630,396",,17/02/2020,2020-02,CANADA,AMAZON,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
150,"56,59","0,1",0,"8488,5","7639,65","848,85",,17/02/2020,2020-02,UK,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,111111111","0,1111111111"
154,"27,26","0,13",3,"4198,04","3652,2948","545,7452",,17/02/2020,2020-02,CANADA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,"1,149425287","0,1494252874"
150,"59,64","0,03",1,8946,"8677,62","268,38",,24/02/2020,2020-02,UK,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,030927835","0,03092783505"
146,"30,55","0,23",2,"4460,3","3434,431","1025,869",,24/02/2020,2020-02,UK,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,298701299","0,2987012987"
154,"51,19","0,24",3,"7883,26","5991,2776","1891,9824",,24/02/2020,2020-02,USA,AMAZON,Omega,FALSE,FALSE,FALSE,FALSE,"1,315789474","0,3157894737"
123,"12,98","0,15",2,"1596,54","1357,059","239,481",,24/02/2020,2020-02,USA,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,176470588","0,1764705882"
133,"32,81","0,09",0,"4363,73","3970,9943","392,7357",,24/02/2020,2020-02,CANADA,AMAZON,Performance,FALSE,FALSE,FALSE,FALSE,"1,098901099","0,0989010989"
147,"13,55","0,02",1,"1991,85","1952,013","39,837",,24/02/2020,2020-02,UK,AMAZON,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,020408163","0,02040816327"
175,"43,93","0,09",2,"7687,75","6995,8525","691,8975",,24/02/2020,2020-02,UK,AMAZON,Performance,FALSE,FALSE,FALSE,FALSE,"1,098901099","0,0989010989"
170,"53,68","0,18",0,"9125,6","7482,992","1642,608",,24/02/2020,2020-02,UK,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,219512195","0,2195121951"
169,"36,7","0,04",0,"6202,3","5954,208","248,092",,24/02/2020,2020-02,CANADA,IHERB,Protein,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
147,"34,3","0,14",0,"5042,1","4336,206","705,894",,24/02/2020,2020-02,UK,IHERB,Mineral,FALSE,FALSE,FALSE,FALSE,"1,162790698","0,1627906977"
133,"27,16","0,18",2,"3612,28","2962,0696","650,2104",,24/02/2020,2020-02,UK,IHERB,Herbal,FALSE,FALSE,FALSE,FALSE,"1,219512195","0,2195121951"
164,"31,5","0,17",1,5166,"4287,78","878,22",,24/02/2020,2020-02,CANADA,IHERB,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,204819277","0,2048192771"
143,"32,32","0,2",2,"4621,76","3697,408","924,352",,24/02/2020,2020-02,USA,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
147,"39,11","0,09",2,"5749,17","5231,7447","517,4253",,24/02/2020,2020-02,UK,IHERB,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,098901099","0,0989010989"
158,"28,73","0,04",1,"4539,34","4357,7664","181,5736",,24/02/2020,2020-02,UK,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
135,"27,29","0,04",0,"3684,15","3536,784","147,366",,24/02/2020,2020-02,CANADA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,"1,041666667","0,04166666667"
155,"27,03","0,02",1,"4189,65","4105,857","83,793",,2/03/2020,2020-03,CANADA,AMAZON,Protein,FALSE,FALSE,FALSE,FALSE,"1,020408163","0,02040816327"
143,"40,29","0,09",0,"5761,47","5242,9377","518,5323",,2/03/2020,2020-03,CANADA,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,098901099","0,0989010989"
157,"34,28","0,01",1,"5381,96","5328,1404","53,8196",,2/03/2020,2020-03,CANADA,IHERB,Omega,FALSE,FALSE,FALSE,FALSE,"1,01010101","0,0101010101"
184,"11,95","0,01",1,"2198,8","2176,812","21,988",,2/03/2020,2020-03,UK,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,01010101","0,0101010101"
136,"47,81","0,11",1,"6502,16","5786,9224","715,2376",,2/03/2020,2020-03,USA,WALMART,Performance,FALSE,FALSE,FALSE,FALSE,"1,123595506","0,1235955056"
169,"57,8","0,08",3,"9768,2","8986,744","781,456",,2/03/2020,2020-03,CANADA,AMAZON,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,086956522","0,08695652174"
154,"59,2","0,07",4,"9116,8","8478,624","638,176",,2/03/2020,2020-03,CANADA,IHERB,Performance,FALSE,FALSE,FALSE,FALSE,"1,075268817","0,0752688172"
146,"27,02","0,14",0,"3944,92","3392,6312","552,2888",,2/03/2020,2020-03,UK,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,162790698","0,1627906977"
152,"48,1","0,21",1,"7311,2","5775,848","1535,352",,2/03/2020,2020-03,UK,AMAZON,Protein,FALSE,FALSE,FALSE,FALSE,"1,265822785","0,2658227848"
143,"19,73","0,01",1,"2821,39","2793,1761","28,2139",,2/03/2020,2020-03,USA,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,01010101","0,0101010101"
152,"39,02","0,03",1,"5931,04","5753,1088","177,9312",,2/03/2020,2020-03,USA,AMAZON,Herbal,FALSE,FALSE,FALSE,FALSE,"1,030927835","0,03092783505"
154,"30,09","0,25",3,"4633,86","3475,395","1158,465",,2/03/2020,2020-03,CANADA,AMAZON,Sleep Aid,FALSE,FALSE,FALSE,FALSE,"1,333333333","0,3333333333"
154,"41,03","0,05",1,"6318,62","6002,689","315,931",,2/03/2020,2020-03,UK,AMAZON,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,052631579","0,05263157895"
151,"58,2","0,23",2,"8788,2","6766,914","2021,286",,2/03/2020,2020-03,USA,WALMART,Fat Burner,FALSE,FALSE,FALSE,FALSE,"1,298701299","0,2987012987"
151,"16,53","0,2",0,"2496,03","1996,824","499,206",,2/03/2020,2020-03,UK,AMAZON,Mineral,FALSE,FALSE,FALSE,FALSE,"1,25","0,25"
161,"53,85","0,24",0,"8669,85","6589,086","2080,764",,2/03/2020,2020-03,USA,AMAZON,Hydration,FALSE,FALSE,FALSE,FALSE,"1,315789474","0,3157894737"
149,"34,17","0,22",2,"5091,33","3971,2374","1120,0926",,9/03/2020,2020-03,USA,WALMART,Protein,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
145,"20,16","0,19",1,"2923,2","2367,792","555,408",,9/03/2020,2020-03,CANADA,IHERB,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,234567901","0,2345679012"
150,"38,86","0,22",4,5829,"4546,62","1282,38",,9/03/2020,2020-03,UK,WALMART,Omega,FALSE,FALSE,FALSE,FALSE,"1,282051282","0,2820512821"
147,"48,23","0,14",4,"7089,81","6097,2366","992,5734",,9/03/2020,2020-03,UK,WALMART,Vitamin,FALSE,FALSE,FALSE,FALSE,"1,162790698","0,1627906977"
138,"52,7","0,11",3,"7272,6","6472,614","799,986",,9/03/2020,2020-03,CANADA,AMAZON,Performance,FALSE,FALSE,FALSE,FALSE,"1,123595506","0,1235955056"
168,"54,17","0,11",2,"9100,56","8099,4984","1001,0616",,9/03/2020,2020-03,CANADA,AMAZON,Amino Acid,FALSE,FALSE,FALSE,FALSE,"1,123595506","0,1235955056"
154,"10,96","0,12",2,"1687,84","1485,2992","202,5408",,9/03/2020,2020-03,USA,AMAZON,Performance,FALSE,FALSE,FALSE,FALSE,"1,136363636","0,1363636364"
